,Name,Sex,Equipment,Age,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Dots,Country,Date
1,Patrycja Nowak,F,Raw,25.5,Open,45.4,47,62.5,40.0,100.0,202.5,272.34,Poland,2014-03-28
2,Klaudia Rusztyn,F,Raw,20.5,Open,51.8,52,97.5,52.5,148.0,298.0,364.21,Poland,2014-03-28
3,Ewa Mioduszewska,F,Raw,24.5,Open,51.2,52,100.0,50.0,145.0,295.0,363.49,Poland,2014-03-28
5,Patrycja Jurga-Murcha,F,Raw,31.5,Open,51.0,52,85.0,50.0,130.0,265.0,327.43,Poland,2014-03-28
8,Małgorzata Laska,F,Raw,27.5,Open,55.9,57,105.0,60.0,130.0,295.0,342.35,Poland,2014-03-28
9,Karolina Staszewska,F,Raw,28.5,Open,56.8,57,100.0,57.5,130.0,287.5,330.15,Poland,2014-03-28
10,Madlena Kratiuk,F,Raw,24.5,Open,52.1,57,87.5,62.5,125.0,275.0,334.75,Poland,2014-03-28
11,Magdalena Błach,F,Raw,24.5,Open,55.0,57,100.0,55.0,120.0,275.0,322.61,Poland,2014-03-28
12,Iwona Mazur-Żmuda,F,Raw,40.5,Open,56.3,57,87.5,40.0,120.0,247.5,285.87,Poland,2014-03-28
14,Magdalena Wojtkowska,F,Raw,23.5,Open,55.9,57,72.5,47.5,90.0,210.0,243.7,Poland,2014-03-28
16,Olga Ciborowska,F,Raw,22.5,Open,62.3,63,95.0,55.0,135.0,285.0,308.62,Poland,2014-03-28
17,Agnieszka Tuczykont,F,Raw,28.5,Open,61.8,63,80.0,97.5,97.5,275.0,299.28,Poland,2014-03-28
19,Kamila Kasperska,F,Raw,21.5,Open,71.8,72,130.0,65.0,162.5,357.5,356.47,Poland,2014-03-28
21,Marzena Janzer,F,Raw,39.0,Open,70.2,72,102.5,82.5,135.0,320.0,323.09,Poland,2014-03-28
24,Marzena Piter,F,Raw,24.5,Open,74.1,84,160.0,95.5,200.0,455.5,446.5,Poland,2014-03-28
25,Agnieszka Korycka,F,Raw,25.5,Open,80.8,84,125.0,57.5,130.0,312.5,293.0,Poland,2014-03-28
26,Karolina Ruta,F,Raw,21.5,Open,85.8,84+,127.5,65.0,160.0,352.5,321.14,Poland,2014-03-28
27,Iwona Karwowska,F,Raw,31.0,Open,84.9,84+,135.0,75.0,140.0,350.0,320.44,Poland,2014-03-28
28,Kinga Zukowska,F,Raw,17.5,Open,104.3,84+,120.0,67.5,140.0,327.5,275.06,Poland,2014-03-28
30,Jakub Synak,M,Raw,29.5,Open,58.5,59,145.0,95.0,185.0,425.0,366.35,Poland,2014-03-28
33,Mariusz Grotkowski,M,Raw,24.5,Open,65.5,66,200.0,135.0,210.0,545.0,429.45,Poland,2014-03-28
34,Szymon Jonczak,M,Raw,26.5,Open,65.6,66,165.0,140.0,200.0,505.0,397.47,Poland,2014-03-28
35,Grzegorz Uziełło,M,Raw,38.5,Open,65.4,66,165.0,105.0,217.5,487.5,384.58,Poland,2014-03-28
36,Piotr Markiewicz,M,Raw,39.5,Open,65.0,66,162.5,100.0,205.0,467.5,370.5,Poland,2014-03-28
38,Dawid Kluczyńśki,M,Raw,23.0,Open,65.2,66,155.0,115.0,185.0,455.0,359.76,Poland,2014-03-28
39,Piotr Jakimiuk,M,Raw,26.5,Open,74.0,74,230.0,160.0,252.5,642.5,464.95,Poland,2014-03-28
40,Artur Giczan,M,Raw,25.5,Open,73.5,74,230.0,130.0,255.0,615.0,447.02,Poland,2014-03-28
41,Kamil Swiatek,M,Raw,23.5,Open,72.2,74,205.0,132.5,240.0,577.5,424.75,Poland,2014-03-28
43,Włodzimierz Żmijewski,M,Raw,64.5,Open,72.3,74,212.5,70.0,250.0,532.5,391.29,Poland,2014-03-28
47,Piotr Jabłonski,M,Raw,22.5,Open,82.4,83,235.0,180.0,250.0,665.0,450.78,Poland,2014-03-28
48,Kamil Wojciechowski,M,Raw,27.5,Open,81.8,83,215.0,185.0,250.0,650.0,442.45,Poland,2014-03-28
50,Marcin Kapała,M,Raw,21.5,Open,82.5,83,225.0,130.0,257.5,612.5,414.9,Poland,2014-03-28
51,Mateusz Rufkiewicz,M,Raw,25.0,Open,82.0,83,190.0,167.5,252.5,610.0,414.64,Poland,2014-03-28
53,Krzysztof Kaczmarek,M,Raw,26.5,Open,82.7,83,220.0,135.0,250.0,605.0,409.26,Poland,2014-03-28
54,Daniel Cieplak,M,Raw,40.0,Open,82.8,83,182.5,145.0,225.0,552.5,373.49,Poland,2014-03-28
55,Damian Borzyszkowski,M,Raw,23.5,Open,82.2,83,180.0,127.5,225.0,532.5,361.46,Poland,2014-03-28
56,Jakub Krawiec,M,Raw,23.5,Open,81.9,83,165.0,145.0,200.0,510.0,346.91,Poland,2014-03-28
59,Krzysztof Wierzbicki,M,Raw,23.0,Open,92.6,93,270.0,182.5,350.0,802.5,511.65,Poland,2014-03-28
60,Michał Kempys,M,Raw,25.5,Open,90.9,93,245.0,155.0,305.0,705.0,453.59,Poland,2014-03-28
61,Mariusz Snarski,M,Raw,29.0,Open,92.4,93,257.5,167.5,270.0,695.0,443.58,Poland,2014-03-28
62,Tomasz Rumiński,M,Raw,26.5,Open,92.4,93,230.0,160.0,275.0,665.0,424.43,Poland,2014-03-28
63,Kamil Krakowiak,M,Raw,21.5,Open,91.3,93,220.0,145.0,275.0,640.0,410.88,Poland,2014-03-28
64,Dawid Pelc,M,Raw,24.5,Open,91.6,93,205.0,175.0,260.0,640.0,410.21,Poland,2014-03-28
65,Konrad Obrzut,M,Raw,28.5,Open,92.3,93,215.0,165.0,260.0,640.0,408.69,Poland,2014-03-28
67,Albert Potocki,M,Raw,21.5,Open,91.9,93,225.0,147.5,230.0,602.5,385.56,Poland,2014-03-28
68,Michał Dzwonkowski,M,Raw,20.5,Open,92.7,93,217.5,135.0,235.0,587.5,374.38,Poland,2014-03-28
69,Paweł Przybyłowicz,M,Raw,23.5,Open,91.1,93,180.0,155.0,235.0,570.0,366.33,Poland,2014-03-28
73,Andrzej Sibik,M,Raw,29.5,Open,90.3,93,172.5,112.5,205.0,490.0,316.31,Poland,2014-03-28
77,Sebastian Kot,M,Raw,28.5,Open,103.1,105,285.0,190.0,322.5,797.5,484.57,Poland,2014-03-28
79,Marcin Goleń,M,Raw,30.5,Open,104.0,105,260.0,195.0,320.0,775.0,469.22,Poland,2014-03-28
80,Szczepan Zimmermann,M,Raw,23.5,Open,101.1,105,245.0,160.0,270.0,675.0,413.53,Poland,2014-03-28
83,Radosław Wałęga,M,Raw,25.5,Open,104.3,105,200.0,150.0,225.0,575.0,347.72,Poland,2014-03-28
84,Krzysztof Cybartowicz,M,Raw,25.5,Open,101.5,105,205.0,125.0,220.0,550.0,336.38,Poland,2014-03-28
85,Łukasz Głowacz,M,Raw,37.5,Open,98.7,105,160.0,145.0,192.5,497.5,307.98,Poland,2014-03-28
86,Mateusz Grzesik,M,Raw,24.5,Open,108.8,120,275.0,197.5,302.5,775.0,460.92,Poland,2014-03-28
87,Piotr Sadowski #1,M,Raw,20.5,Open,117.4,120,270.0,190.5,295.0,755.5,437.11,Poland,2014-03-28
88,Sebastian Sobiech,M,Raw,33.5,Open,112.7,120,255.0,180.0,275.0,710.0,416.76,Poland,2014-03-28
89,Andrzej Koszyk,M,Raw,34.5,Open,111.2,120,225.0,190.0,240.0,655.0,386.37,Poland,2014-03-28
90,Hubert Dudziak,M,Raw,18.5,Open,119.2,120,250.0,137.5,250.0,637.5,366.94,Poland,2014-03-28
91,Łukasz Kubańda,M,Raw,25.5,Open,117.0,120,220.0,155.0,235.0,610.0,353.34,Poland,2014-03-28
93,Marcin Kozłowski,M,Raw,22.5,Open,108.1,120,170.0,125.0,230.0,525.0,313.01,Poland,2014-03-28
